Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
DeMar DeRozan,Chicago Bulls,AL,34,62,62,2350,7,16,0,2,6,13,6,7,3,5,1,23,33643705,28600000,"-17,63533445588877",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Mamadi Diakite,San Antonio Spurs,AP,27,3,0,16,1,1,0,0,1,1,1,2,0,0,0,4,3737591,199463,"-1773,826899269758",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Hamidou Diallo,Washington Wizards,ES,25,2,0,5,0,0,0,0,0,1,0,0,0,0,0,1,2807724,134863,"-1981,9084162157903",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Gradey Dick,Toronto Raptors,ES,20,43,2,747,2,5,1,3,1,2,0,0,1,1,0,6,3015338,4536720,"33,53482265556863",https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
Ousmane Dieng,Oklahoma City Thunder,AP,20,29,0,326,1,3,0,2,0,1,0,0,1,1,0,4,2919630,4798440,"39,154590888197326",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Spencer Dinwiddie,TOT,BA,30,59,49,1747,3,9,1,5,1,4,2,2,2,5,1,11,14405447,1554664,"-826,5955617463826",
Donte DiVincenzo,New York Knicks,ES,27,62,44,1638,5,11,3,7,1,3,0,1,2,2,1,14,13572524,10900000,"-24,51857012248087",https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
Luguentz Dort,Oklahoma City Thunder,AL,24,61,61,1739,3,8,1,4,1,3,1,1,2,1,0,10,5717411,15277778,"62,576945236602576",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Ayo Dosunmu,Chicago Bulls,ES,24,62,23,1701,4,8,1,3,2,4,0,1,2,2,1,10,6634316,6481481,"-2,3580274637819554",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Andre Drummond,Chicago Bulls,P,30,64,10,1097,3,6,0,0,3,6,1,2,5,0,1,8,9288787,3360000,"-176,4520203632189",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Chris Duarte,Sacramento Kings,AL,26,43,11,569,1,3,0,2,0,1,0,0,1,0,0,4,3739366,4124280,"9,332859427112425",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Kris Dunn,Utah Jazz,BA,29,56,28,1029,2,4,0,1,1,2,0,0,2,3,1,5,6861214,2586484,"-165,27186668138606",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Kevin Durant,Phoenix Suns,AP,35,57,57,2123,10,19,2,5,8,14,5,6,6,5,3,28,37999386,47649433,"20,25217511284029",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Jalen Duren,Detroit Pistons,P,20,48,47,1431,5,9,0,0,5,9,2,2,8,2,2,13,8076995,4330680,"-86,50639266564465",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Tari Eason,Houston Rockets,AP,22,22,0,480,4,8,0,2,3,6,0,1,4,1,0,9,5361892,3527160,"-52,01728400374071",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Anthony Edwards,Minnesota Timberwolves,ES,22,61,60,2138,9,19,2,6,6,13,5,6,4,5,3,26,15004134,13534817,"-10,85583499408299",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Kessler Edwards,Sacramento Kings,AL,23,39,0,189,0,1,0,0,0,0,0,0,0,0,0,1,2188224,1927896,"-13,503251245760751",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Keon Ellis,Sacramento Kings,ES,24,37,4,437,1,2,0,2,0,0,0,0,0,1,0,3,2751599,1450668,"-89,67813126510077",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
