Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salario
Robert Covington,,33,TOT,29,6,488,43,98,0.439,19,56,0.339,24,42,0.571,0.536,22,26,0.846,31,66,97,24,39,18,11,56,127,11692308
Torrey Craig,AL,33,CHI,35,8,721,73,174,0.42,39,105,0.371,34,69,0.493,0.532,21,27,0.778,57,103,160,38,21,16,22,78,206,2528233
Jae Crowder,AP,33,MIL,33,17,804,74,177,0.418,38,111,0.342,36,66,0.545,0.525,18,26,0.692,18,102,120,48,28,6,16,56,204,3196448
Jalen Crutcher,BA,24,NOP,1,0,3,0,1,0.0,0,0,,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,64343
Cade Cunningham,BA,22,DET,53,53,1793,443,976,0.454,105,287,0.366,338,689,0.491,0.508,206,238,0.866,27,197,224,399,45,20,186,137,1197,11055240
Seth Curry,ES,33,TOT,44,4,616,80,204,0.392,38,108,0.352,42,96,0.438,0.485,28,31,0.903,18,50,68,44,22,6,21,39,226,4000000
Stephen Curry,BA,35,GSW,59,59,1936,523,1164,0.449,290,713,0.407,233,451,0.517,0.574,254,276,0.92,30,227,257,291,46,21,176,100,1590,51915615
Dyson Daniels,BA,20,NOP,52,15,1139,112,256,0.438,32,110,0.291,80,146,0.548,0.5,32,50,0.64,51,140,191,136,72,21,52,84,288,5784120
Anthony Davis,P,30,LAL,61,61,2183,576,1038,0.555,19,74,0.257,557,964,0.578,0.564,337,413,0.816,182,566,748,221,66,149,121,146,1508,40600080
Johnny Davis,ES,21,WAS,32,0,316,31,90,0.344,5,18,0.278,26,72,0.361,0.372,6,11,0.545,14,29,43,13,10,3,8,27,73,5050800
Dexter Dennis,ES,24,DAL,4,0,30,10,19,0.526,1,8,0.125,9,11,0.818,0.553,1,3,0.333,1,8,9,4,0,1,3,1,22,212331
DeMar DeRozan,AL,34,CHI,62,62,2350,488,1034,0.472,61,178,0.343,427,856,0.499,0.501,399,462,0.864,37,228,265,333,66,36,91,134,1436,28600000
Mamadi Diakite,AP,27,SAS,3,0,16,4,5,0.8,0,0,,4,5,0.8,0.8,4,6,0.667,1,2,3,2,0,1,0,1,12,199463
Hamidou Diallo,ES,25,WAS,2,0,5,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,2,0,2,1,2,0,1,1,2,134863
Gradey Dick,ES,20,TOR,43,2,747,102,240,0.425,54,146,0.37,48,94,0.511,0.538,23,25,0.92,21,64,85,47,22,0,26,60,281,4536720
Ousmane Dieng,AP,20,OKC,29,0,326,43,101,0.426,20,64,0.313,23,37,0.622,0.525,14,16,0.875,10,39,49,31,5,3,16,19,120,4798440
