Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Stephen Curry,Golden State Warriors,BA,35,59,59,1936,8,19,4,12,3,7,4,4,3,4,2,26,40579072,51915615,"21,836478772101533",https://cdn.ssref.net/req/202312151/tlogo/bbr/GSW-2024.png
Dyson Daniels,New Orleans Pelicans,BA,20,52,15,1139,2,4,0,2,1,2,0,0,2,2,1,5,3383367,5784120,"41,50592804091459",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Anthony Davis,Los Angeles Lakers,P,30,61,61,2183,9,17,0,1,9,15,5,6,9,3,1,24,33363021,40600080,"17,825232899696953",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Johnny Davis,Washington Wizards,ES,21,32,0,316,0,2,0,0,0,2,0,0,0,0,0,2,2990162,5050800,"40,7982464836053",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Dexter Dennis,Dallas Mavericks,ES,24,3,0,30,2,4,0,2,2,2,0,0,2,1,0,5,3672298,212331,"-1629,516074639162",https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
DeMar DeRozan,Chicago Bulls,AL,34,62,62,2350,7,16,0,2,6,13,6,7,3,5,1,23,33103075,28600000,"-15,745020743767583",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Mamadi Diakite,San Antonio Spurs,AP,27,3,0,16,1,1,0,0,1,1,1,2,0,0,0,4,3750547,199463,"-1780,32250941156",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Hamidou Diallo,Washington Wizards,ES,25,2,0,5,0,1,0,0,0,1,0,0,0,0,0,1,2747810,134863,"-1937,4830183965323",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Gradey Dick,Toronto Raptors,ES,20,43,2,747,2,5,1,3,1,2,0,0,1,1,0,6,3033860,4536720,"33,126568292274726",https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
Ousmane Dieng,Oklahoma City Thunder,AP,20,29,0,326,1,3,0,2,0,1,0,0,1,1,0,4,2941915,4798440,"38,690171518853866",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Spencer Dinwiddie,TOT,BA,30,59,49,1747,3,9,1,5,1,4,2,2,2,5,1,11,14113010,1554664,"-807,7852600722",
Donte DiVincenzo,New York Knicks,ES,27,62,44,1638,5,11,3,7,1,3,0,1,2,2,1,14,13000593,10900000,"-19,271499210536973",https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
Luka Dončić,Dallas Mavericks,BA,24,56,56,2104,11,23,3,10,7,13,7,9,8,9,3,34,30846528,40064220,"23,007289867830462",https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
Luguentz Dort,Oklahoma City Thunder,AL,24,61,61,1739,3,8,1,4,1,3,1,1,2,1,0,10,5699144,15277778,"62,69651230345554",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Ayo Dosunmu,Chicago Bulls,ES,24,62,23,1701,4,8,1,3,2,4,0,1,2,2,1,10,6548478,6481481,"-1,0336818885426802",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Andre Drummond,Chicago Bulls,P,30,64,10,1097,3,6,0,0,3,6,1,2,5,0,1,8,9144287,3360000,"-172,15141661346763",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Chris Duarte,Sacramento Kings,AL,26,43,11,569,1,3,0,2,0,1,0,0,1,0,0,4,3692670,4124280,"10,465085933221458",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Kris Dunn,Utah Jazz,BA,29,56,28,1029,2,4,0,1,1,2,0,0,2,3,1,5,7053649,2586484,"-172,7119009091854",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Kevin Durant,Phoenix Suns,AP,35,57,57,2123,10,19,2,5,8,14,5,6,6,5,3,28,37827264,47649433,"20,613400871812075",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Jalen Duren,Detroit Pistons,P,20,48,47,1431,5,9,0,0,5,9,2,2,8,2,2,13,7844993,4330680,"-81,14922008793678",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Tari Eason,Houston Rockets,AP,22,22,0,480,4,8,0,2,3,6,0,1,4,1,0,9,5275147,3527160,"-49,557937472204536",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Anthony Edwards,Minnesota Timberwolves,ES,22,61,60,2138,9,19,2,6,6,13,5,6,4,5,3,26,14643357,13534817,"-8,190289699553585",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Kessler Edwards,Sacramento Kings,AL,23,39,0,189,0,1,0,0,0,0,0,0,0,0,0,1,2202881,1927896,"-14,263479203801008",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Keon Ellis,Sacramento Kings,ES,24,37,4,437,1,2,0,2,0,0,0,0,0,1,0,3,2753840,1450668,"-89,83255560233329",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Joel Embiid,Philadelphia 76ers,P,29,34,34,1157,11,22,1,3,10,18,10,11,8,5,3,35,41745701,47607350,"12,312486156060627",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHI-2024.png
Drew Eubanks,Phoenix Suns,P,26,58,4,922,2,3,0,0,2,3,1,1,2,0,0,5,3645051,2346614,"-55,332386448443",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Tosan Evbuomwan,TOT,AL,22,6,0,90,1,3,0,1,0,1,0,0,1,1,0,2,2958363,64343,"-4497,801730299328",
Dante Exum,Dallas Mavericks,BA,28,38,14,722,3,5,0,1,2,3,1,1,2,2,0,8,7379763,3000000,"-145,9921011511114",https://cdn.ssref.net/req/202312151/tlogo/bbr/DAL-2024.png
Bruno Fernando,Atlanta Hawks,P,25,26,1,315,1,3,0,0,1,3,1,1,2,0,0,4,3482195,2581522,"-34,88923212799994",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Dorian Finney-Smith,Brooklyn Nets,AP,30,55,44,1560,3,7,1,5,1,2,0,0,3,1,0,8,9031918,13394160,"32,56823175687998",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Malachi Flynn,TOT,BA,25,54,0,607,1,3,0,1,0,1,0,0,1,1,0,4,3244671,3873025,"16,223845297008673",
Simone Fontecchio,TOT,AL,28,62,39,1500,3,8,1,4,1,3,0,0,2,1,0,10,8502374,3044872,"-179,2358466660053",
Trent Forrest,Atlanta Hawks,ES,25,25,0,250,0,2,0,0,0,1,0,0,1,1,0,2,3022597,968162,"-212,19955620121874",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Evan Fournier,TOT,ES,31,14,0,230,2,6,1,4,1,2,0,1,1,1,0,6,9132564,18857143,"51,569736725540416",
De'Aaron Fox,Sacramento Kings,BA,26,54,54,1931,9,21,2,7,7,13,4,6,3,5,2,27,29572512,32600060,"9,286938606394195",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAC-2024.png
Alex Fudge,Los Angeles Lakers,AL,20,3,0,14,0,1,0,0,0,1,0,0,0,0,0,1,2473925,241285,"-925,3124834928526",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Markelle Fultz,Orlando Magic,BA,25,27,15,603,3,7,0,0,3,7,0,0,2,3,1,8,8711345,17000000,"48,756789819720815",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Daniel Gafford,TOT,AP,25,57,49,1410,4,6,0,0,4,6,1,2,5,1,0,10,15108724,12402000,"-21,824900357105008",
Danilo Gallinari,TOT,AP,35,40,0,551,1,4,0,2,1,2,1,2,2,1,0,6,7570889,1047112,"-623,0257644741756",
Darius Garland,Cleveland Cavaliers,BA,24,39,39,1295,6,14,2,5,4,8,3,3,1,6,3,18,22033789,34005250,"35,20474169795278",https://cdn.ssref.net/req/202312151/tlogo/bbr/CLE-2024.png
Usman Garuba,Golden State Warriors,AP,21,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2048264,2588400,"20,8675512684851",https://cdn.ssref.net/req/202312151/tlogo/bbr/GSW-2024.png
Kaiser Gates,New Orleans Pelicans,AL,27,1,0,7,0,3,0,2,0,2,0,0,1,0,0,0,5925474,35389,"-16643,830563723728",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Keyonte George,Utah Jazz,BA,20,57,26,1459,4,10,2,5,2,4,2,2,2,4,2,12,5885227,3889800,"-51,29896296004367",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Paul George,Los Angeles Clippers,AP,33,57,57,1938,7,16,3,8,4,8,3,3,4,3,2,22,37596037,45640165,"17,62510510407903",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
Josh Giddey,Oklahoma City Thunder,ES,21,62,62,1531,4,10,0,2,3,7,1,1,4,4,2,11,6048079,6587160,"8,18381198188982",https://cdn.ssref.net/req/202312151/tlogo/bbr/OKC-2024.png
Harry Giles,TOT,P,25,18,0,85,1,2,0,0,1,1,0,0,0,0,0,3,2972572,2092354,"-42,06832872522669",
Anthony Gill,Washington Wizards,AP,31,33,0,174,0,1,0,0,0,1,0,0,0,0,0,2,3265691,1997238,"-63,51038488959816",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Jacob Gilyard,Memphis Grizzlies,BA,25,37,14,654,1,3,1,3,0,0,0,0,0,3,0,4,4488499,398925,"-1025,1488096092319",https://cdn.ssref.net/req/202312151/tlogo/bbr/MEM-2024.png
Rudy Gobert,Minnesota Timberwolves,P,31,62,62,2104,5,8,0,0,5,8,3,5,9,1,1,13,24806936,41000000,"39,495275825580045",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Jordan Goodwin,TOT,BA,25,46,5,730,2,5,0,2,1,3,0,0,2,2,0,5,3824133,1927986,"-98,34863110619617",
Aaron Gordon,Denver Nuggets,AP,28,58,58,1822,5,9,0,1,4,8,2,3,4,3,1,13,20193105,21266182,"5,045927561065145",https://cdn.ssref.net/req/202312151/tlogo/bbr/DEN-2024.png
